Date,Open,High,Low,Close,Adj Close,Volume
2022-10-12,91000.000000,94000.000000,90900.000000,94000.000000,94000.000000,4648231
2022-10-13,93400.000000,94900.000000,92800.000000,94900.000000,94900.000000,4390570
2022-10-14,96000.000000,96600.000000,94300.000000,95500.000000,95500.000000,3516437
2022-10-17,94600.000000,95300.000000,94000.000000,95200.000000,95200.000000,2134558
2022-10-18,95900.000000,96200.000000,94600.000000,95800.000000,95800.000000,2618680
2022-10-19,94700.000000,94900.000000,92700.000000,92900.000000,92900.000000,3684934
2022-10-20,91000.000000,91800.000000,89000.000000,90200.000000,90200.000000,4547678
2022-10-21,89800.000000,91400.000000,89700.000000,90500.000000,90500.000000,2206754
2022-10-24,92200.000000,93100.000000,91200.000000,91800.000000,91800.000000,2165991
2022-10-25,91900.000000,94800.000000,91000.000000,93500.000000,93500.000000,2656194
2022-10-26,93300.000000,95500.000000,93200.000000,93900.000000,93900.000000,3310322
2022-10-27,95100.000000,95100.000000,89800.000000,90000.000000,90000.000000,4550273
2022-10-28,87100.000000,87800.000000,83000.000000,83400.000000,83400.000000,7748514
2022-10-31,84300.000000,85400.000000,82400.000000,82700.000000,82700.000000,6271574
2022-11-01,82700.000000,83900.000000,81400.000000,83900.000000,83900.000000,3820185
2022-11-02,84200.000000,85500.000000,83600.000000,84500.000000,84500.000000,2536363
2022-11-03,82600.000000,83500.000000,81900.000000,82700.000000,82700.000000,2901380
2022-11-04,82700.000000,84600.000000,81700.000000,84500.000000,84500.000000,3032985
2022-11-07,85400.000000,86800.000000,85000.000000,86500.000000,86500.000000,2765284
2022-11-08,87600.000000,89000.000000,87400.000000,87700.000000,87700.000000,2799575
2022-11-09,88100.000000,89200.000000,86600.000000,89200.000000,89200.000000,2619752
2022-11-10,89000.000000,90800.000000,88300.000000,89100.000000,89100.000000,3856811
2022-11-11,95200.000000,95300.000000,92500.000000,93500.000000,93500.000000,5002149
2022-11-14,93900.000000,93900.000000,90900.000000,90900.000000,90900.000000,2483441
2022-11-15,91300.000000,92100.000000,90400.000000,91600.000000,91600.000000,2460465
2022-11-16,92000.000000,92400.000000,90300.000000,91500.000000,91500.000000,2609199
2022-11-17,82400.000000,88500.000000,82000.000000,87700.000000,87700.000000,3703870
2022-11-18,88700.000000,91500.000000,88100.000000,88400.000000,88400.000000,2981192
2022-11-21,87600.000000,87700.000000,86100.000000,86300.000000,86300.000000,2083756
